modell,eset,spearman,top5_atfedes,top1_egyezes
tree,856,0.7592335304958695,0.6,1
tree,875,0.8114083465726,0.8,0
tree,894,0.503756844878776,0.8,1
tree,915,0.8042118202171887,0.8,1
tree,917,0.7142552407745503,0.6,1
tree,927,0.7988144254506304,0.8,1
tree,932,0.5955125559102674,0.6,0
tree,944,0.7898187675063667,0.8,0
tree,947,0.676473477408642,0.6,1
tree,957,0.6728752142309364,0.4,1
tree,969,0.7214517671299613,0.6,1
tree,974,0.7070587144191391,0.6,1
tree,1003,0.5271455555338621,0.6,1
tree,1011,0.6710760826420837,0.8,0
tree,1013,0.5505342661889481,0.8,1
tree,1018,0.7880196359175139,0.8,1
tree,1021,0.49835945011221766,0.6,1
tree,1030,0.5685255820774757,0.6,1
tree,1038,0.6548838983424088,0.6,0
tree,1039,0.6260977929207644,0.8,1
tree,1054,0.42459505496925404,0.6,1
tree,1070,0.46597508151286776,0.6,1
tree,1094,0.6674778194643782,0.6,1
tree,1096,0.573922976844034,0.4,0
tree,1111,0.7106569775968447,0.8,1
tree,1124,0.7070587144191391,0.8,0
tree,1125,0.5055559764676288,0.6,0
tree,1151,0.37601850207022924,0.4,1
tree,1156,0.6872682669417587,0.6,1
tree,1161,0.6962639248860226,0.6,1
tree,1176,0.748438740962753,0.6,1
tree,1189,0.7106569775968447,0.8,1
tree,1208,0.8078100833948944,0.6,0
tree,1231,0.6494865035758505,0.4,1
tree,1242,0.7610326620847224,0.8,1
tree,1257,0.33463847552661546,0.6,1
tree,1260,0.7538361357293111,0.8,1
tree,1284,0.48576552899024833,0.6,1
tree,1303,0.6674778194643782,0.8,0
tree,1311,0.5883160295548562,0.8,1
tree,1324,0.7268491618965197,0.6,1
tree,1330,0.4048046074918736,0.4,1
tree,1337,0.6602812931089672,0.6,1
tree,1342,0.6153030033876479,0.8,1
tree,1356,0.6045082138545311,0.6,1
tree,1379,0.8599848994716246,0.6,1
xgboost,59,0.6789473684210526,0.8,1
xgboost,85,0.7210526315789473,0.8,0
xgboost,91,0.8210526315789475,0.6,1
xgboost,104,0.7052631578947368,0.8,1
xgboost,112,0.7140350877192982,0.8,1
xgboost,116,0.46315789473684205,0.6,1
xgboost,123,0.6228070175438596,1.0,0
xgboost,135,0.8175438596491227,0.8,0
xgboost,169,0.9228070175438597,0.8,1
xgboost,179,0.6105263157894737,0.8,1
xgboost,196,0.8508771929824561,0.8,1
xgboost,210,0.46842105263157896,0.4,0
xgboost,222,0.6508771929824562,0.8,1
xgboost,223,0.6842105263157895,0.6,0
xgboost,242,0.8456140350877193,1.0,0
xgboost,260,0.7105263157894737,0.8,1
xgboost,264,0.6526315789473683,0.6,1
xgboost,303,0.6298245614035087,0.8,1
xgboost,313,0.6649122807017543,0.8,0
xgboost,335,0.843859649122807,0.6,1
