modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
logreg,927,0-1,0.9192982456140351,1.0,1
logreg,927,0-2,0.8807017543859648,0.8,1
logreg,927,1-2,0.9157894736842105,0.8,1
logreg,934,0-1,0.956140350877193,1.0,1
logreg,934,0-2,0.9245614035087718,0.8,1
logreg,934,1-2,0.943859649122807,0.8,1
logreg,939,0-1,0.8508771929824561,0.8,1
logreg,939,0-2,0.7105263157894737,0.8,0
logreg,939,1-2,0.719298245614035,0.8,0
logreg,943,0-1,0.8964912280701753,0.6,1
logreg,943,0-2,0.7087719298245614,0.6,1
logreg,943,1-2,0.8105263157894737,0.8,1
logreg,945,0-1,0.5929824561403508,0.8,1
logreg,945,0-2,0.7052631578947368,0.8,1
logreg,945,1-2,0.7859649122807018,0.8,1
logreg,954,0-1,0.9315789473684211,0.8,1
logreg,954,0-2,0.8929824561403509,0.8,1
logreg,954,1-2,0.8789473684210527,1.0,1
logreg,959,0-1,0.8754385964912281,0.8,1
logreg,959,0-2,0.8491228070175438,0.6,1
logreg,959,1-2,0.8578947368421052,0.6,1
logreg,961,0-1,0.8912280701754386,0.8,1
logreg,961,0-2,0.9192982456140351,0.8,1
logreg,961,1-2,0.9385964912280702,1.0,1
logreg,967,0-1,0.6526315789473683,0.8,1
logreg,967,0-2,0.8578947368421052,0.8,1
logreg,967,1-2,0.6368421052631579,1.0,1
logreg,976,0-1,0.856140350877193,0.6,1
logreg,976,0-2,0.9456140350877192,1.0,1
logreg,976,1-2,0.8578947368421052,0.6,1
logreg,990,0-1,0.8333333333333334,1.0,1
logreg,990,0-2,0.9210526315789472,0.8,1
logreg,990,1-2,0.8789473684210527,0.8,1
logreg,993,0-1,0.6614035087719298,0.8,1
logreg,993,0-2,0.780701754385965,0.8,1
logreg,993,1-2,0.7280701754385965,0.8,1
logreg,996,0-1,0.6526315789473683,1.0,1
logreg,996,0-2,0.49473684210526314,0.8,1
logreg,996,1-2,0.5,0.8,1
logreg,1014,0-1,0.7508771929824561,0.8,1
logreg,1014,0-2,0.6947368421052632,0.8,1
logreg,1014,1-2,0.6175438596491227,0.8,1
logreg,1015,0-1,0.9052631578947368,1.0,1
logreg,1015,0-2,0.8333333333333334,0.8,1
logreg,1015,1-2,0.8614035087719297,0.8,1
logreg,1019,0-1,0.8701754385964912,0.8,1
logreg,1019,0-2,0.9245614035087718,1.0,1
logreg,1019,1-2,0.9333333333333333,0.8,1
logreg,1023,0-1,0.9350877192982456,0.8,1
logreg,1023,0-2,0.8912280701754386,0.6,1
logreg,1023,1-2,0.8070175438596491,0.6,1
logreg,1027,0-1,0.7280701754385965,0.8,1
logreg,1027,0-2,0.7947368421052632,0.8,0
logreg,1027,1-2,0.8368421052631579,0.8,0
logreg,1028,0-1,0.6701754385964912,0.8,1
logreg,1028,0-2,0.6894736842105263,0.8,1
logreg,1028,1-2,0.7754385964912281,0.8,1
logreg,1031,0-1,0.7315789473684211,0.6,1
logreg,1031,0-2,0.7701754385964912,0.6,1
logreg,1031,1-2,0.8157894736842105,0.8,1
logreg,1039,0-1,0.8842105263157896,0.8,1
logreg,1039,0-2,0.9017543859649122,0.8,1
logreg,1039,1-2,0.887719298245614,0.8,1
logreg,1043,0-1,0.8701754385964912,1.0,1
logreg,1043,0-2,0.843859649122807,0.8,1
logreg,1043,1-2,0.9052631578947368,0.8,1
logreg,1052,0-1,0.819298245614035,1.0,1
logreg,1052,0-2,0.843859649122807,0.8,1
logreg,1052,1-2,0.8298245614035088,0.8,1
logreg,1063,0-1,0.8666666666666666,0.8,1
logreg,1063,0-2,0.6596491228070176,0.8,1
logreg,1063,1-2,0.687719298245614,1.0,1
logreg,1065,0-1,0.8771929824561402,0.8,1
logreg,1065,0-2,0.7719298245614035,0.8,1
logreg,1065,1-2,0.7842105263157895,1.0,1
logreg,1070,0-1,0.8771929824561402,1.0,1
logreg,1070,0-2,0.9298245614035087,1.0,1
logreg,1070,1-2,0.9087719298245613,1.0,1
logreg,1073,0-1,0.7684210526315789,0.8,1
logreg,1073,0-2,0.887719298245614,0.8,1
logreg,1073,1-2,0.8614035087719297,1.0,1
logreg,1077,0-1,0.8350877192982457,0.8,1
logreg,1077,0-2,0.8491228070175438,1.0,1
logreg,1077,1-2,0.8578947368421052,0.8,1
logreg,1087,0-1,0.5982456140350877,0.8,1
logreg,1087,0-2,0.8122807017543859,0.8,1
logreg,1087,1-2,0.6175438596491227,0.8,1
logreg,1092,0-1,0.6403508771929824,0.6,1
logreg,1092,0-2,0.5947368421052631,0.8,1
logreg,1092,1-2,0.763157894736842,0.6,1
logreg,1100,0-1,0.9052631578947368,0.6,1
logreg,1100,0-2,0.8719298245614034,0.6,0
logreg,1100,1-2,0.9017543859649122,0.8,0
logreg,1112,0-1,0.9350877192982456,1.0,1
logreg,1112,0-2,0.8122807017543859,1.0,1
logreg,1112,1-2,0.8333333333333334,1.0,1
logreg,1116,0-1,0.5631578947368421,0.6,1
logreg,1116,0-2,0.47543859649122805,0.6,1
logreg,1116,1-2,0.5859649122807017,0.8,1
logreg,1119,0-1,0.8105263157894737,1.0,1
logreg,1119,0-2,0.8964912280701753,1.0,1
logreg,1119,1-2,0.8070175438596491,1.0,1
logreg,1137,0-1,0.8684210526315789,1.0,1
logreg,1137,0-2,0.8578947368421052,1.0,1
logreg,1137,1-2,0.7894736842105263,1.0,1
