modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,1,223,1.0,1.0,1
logreg,shap,0.01,1,224,1.0,1.0,1
logreg,shap,0.01,1,229,1.0,1.0,1
logreg,shap,0.01,1,231,0.9947368421052631,1.0,1
logreg,shap,0.01,1,241,1.0,1.0,1
logreg,shap,0.01,1,244,1.0,1.0,1
logreg,shap,0.01,1,261,1.0,1.0,1
logreg,shap,0.01,1,281,1.0,1.0,1
logreg,shap,0.01,1,289,1.0,1.0,1
logreg,shap,0.01,1,291,0.9982456140350877,1.0,1
logreg,shap,0.01,1,311,1.0,1.0,1
logreg,shap,0.01,1,316,1.0,1.0,1
logreg,shap,0.01,1,325,0.9947368421052631,1.0,1
logreg,shap,0.01,1,332,1.0,1.0,1
logreg,shap,0.01,1,344,0.9982456140350877,1.0,1
logreg,shap,0.01,1,364,1.0,1.0,1
logreg,shap,0.01,1,372,1.0,1.0,1
logreg,shap,0.01,1,375,1.0,1.0,1
logreg,shap,0.01,1,381,1.0,1.0,1
logreg,shap,0.01,1,398,1.0,1.0,1
logreg,shap,0.01,1,403,1.0,1.0,1
logreg,shap,0.01,1,407,1.0,1.0,1
logreg,shap,0.01,1,414,0.9982456140350877,1.0,1
logreg,shap,0.01,1,420,1.0,1.0,1
logreg,shap,0.01,1,423,1.0,1.0,1
logreg,shap,0.01,1,440,1.0,1.0,1
logreg,shap,0.01,1,442,1.0,1.0,1
logreg,shap,0.01,1,454,1.0,1.0,1
logreg,shap,0.01,1,457,1.0,1.0,1
logreg,shap,0.01,1,459,1.0,1.0,1
logreg,shap,0.01,1,464,1.0,1.0,1
logreg,shap,0.01,1,467,1.0,1.0,1
logreg,shap,0.01,1,471,1.0,1.0,1
logreg,shap,0.01,1,475,1.0,1.0,1
logreg,shap,0.01,1,480,1.0,1.0,1
logreg,shap,0.01,1,495,1.0,1.0,1
logreg,shap,0.01,1,503,1.0,1.0,1
logreg,shap,0.01,1,506,1.0,1.0,1
logreg,shap,0.01,1,521,1.0,1.0,1
logreg,shap,0.01,1,523,1.0,1.0,1
logreg,shap,0.01,1,530,1.0,1.0,1
logreg,shap,0.01,1,547,1.0,1.0,1
logreg,shap,0.01,1,551,1.0,1.0,1
logreg,shap,0.01,1,556,1.0,1.0,1
logreg,shap,0.01,1,558,1.0,1.0,1
logreg,shap,0.01,1,559,1.0,1.0,1
logreg,shap,0.01,1,562,1.0,1.0,1
logreg,shap,0.01,1,564,1.0,1.0,1
logreg,shap,0.01,1,572,0.9982456140350877,1.0,1
logreg,shap,0.01,1,582,1.0,1.0,1
logreg,shap,0.01,1,587,1.0,1.0,1
logreg,shap,0.01,1,590,1.0,1.0,1
logreg,shap,0.01,1,591,1.0,1.0,1
logreg,shap,0.01,1,598,1.0,1.0,1
logreg,shap,0.01,1,605,1.0,1.0,1
logreg,shap,0.01,1,609,1.0,1.0,1
logreg,shap,0.01,1,613,1.0,1.0,1
logreg,shap,0.01,1,619,1.0,1.0,1
logreg,shap,0.01,1,620,1.0,1.0,1
logreg,shap,0.01,1,626,1.0,1.0,1
logreg,shap,0.01,1,627,1.0,1.0,1
logreg,shap,0.01,1,637,0.9964912280701754,1.0,1
logreg,shap,0.01,1,640,1.0,1.0,1
logreg,shap,0.01,1,667,1.0,1.0,1
logreg,shap,0.01,1,673,1.0,1.0,1
logreg,shap,0.01,1,687,1.0,1.0,1
logreg,shap,0.01,1,688,1.0,1.0,1
logreg,shap,0.01,1,689,1.0,1.0,1
logreg,shap,0.01,1,690,1.0,1.0,1
logreg,shap,0.01,1,693,1.0,1.0,1
logreg,shap,0.01,1,724,1.0,1.0,1
logreg,shap,0.01,1,732,1.0,1.0,1
logreg,shap,0.01,1,740,0.9982456140350877,1.0,1
logreg,shap,0.01,1,748,1.0,1.0,1
logreg,shap,0.01,1,751,1.0,1.0,1
logreg,shap,0.01,1,752,1.0,1.0,1
logreg,shap,0.01,1,755,0.9982456140350877,1.0,0
logreg,shap,0.01,1,759,0.9964912280701754,0.8,1
logreg,shap,0.01,1,766,1.0,1.0,1
logreg,shap,0.01,1,786,1.0,1.0,1
logreg,shap,0.01,1,790,0.9982456140350877,1.0,1
logreg,shap,0.01,1,792,1.0,1.0,1
logreg,shap,0.01,1,809,1.0,1.0,1
logreg,shap,0.01,1,812,1.0,1.0,1
logreg,shap,0.01,1,830,1.0,1.0,1
logreg,shap,0.01,1,845,1.0,1.0,1
logreg,shap,0.01,1,847,1.0,1.0,1
logreg,shap,0.01,1,848,1.0,1.0,1
logreg,shap,0.01,1,850,0.9947368421052631,1.0,1
logreg,shap,0.01,1,860,1.0,1.0,1
logreg,shap,0.01,1,864,1.0,1.0,1
logreg,shap,0.01,1,869,1.0,1.0,1
logreg,shap,0.01,1,872,1.0,1.0,1
logreg,shap,0.01,1,874,1.0,1.0,1
logreg,shap,0.01,1,875,1.0,1.0,1
logreg,shap,0.01,1,878,1.0,1.0,1
logreg,shap,0.01,1,880,0.9982456140350877,1.0,1
logreg,shap,0.01,1,886,0.9982456140350877,1.0,1
logreg,shap,0.01,1,889,1.0,1.0,1
logreg,shap,0.01,1,896,1.0,1.0,1
logreg,shap,0.01,1,900,0.9982456140350877,1.0,1
